,datetime,cash,stock_value,total,returns,equity_curve,drawdown
0,2000-01-03,100000.0,0.0,100000.0,,,
1,2000-01-04,100000.0,0.0,100000.0,0.0,1.0,0.0
2,2000-01-05,100000.0,0.0,100000.0,0.0,1.0,0.0
3,2000-01-06,99663.1452,307.70390000000003,99970.84909999999,-0.0002915090000000786,0.9997084909999999,0.0002915090000000786
4,2000-01-07,99970.84909999999,0.0,99970.84909999999,0.0,0.9997084909999999,0.0002915090000000786
5,2000-01-10,99648.5697,316.6112,99965.18089999999,-5.669852813128262e-05,0.9996518089999998,0.00034819100000016423
6,2000-01-11,99965.18089999999,0.0,99965.18089999999,0.0,0.9996518089999998,0.00034819100000016423
7,2000-01-12,99965.18089999999,0.0,99965.18089999999,0.0,0.9996518089999998,0.00034819100000016423
8,2000-01-13,99965.18089999999,0.0,99965.18089999999,0.0,0.9996518089999998,0.00034819100000016423
9,2000-01-14,99651.8087,325.3159,99977.1246,0.00011947860137362376,0.9997712459999998,0.00022875400000021973
10,2000-01-18,99326.49279999999,673.3048,99999.79759999999,0.0002267818772614394,0.9999979759999996,2.0240000003779457e-06
11,2000-01-19,98989.84039999999,1035.4641000000001,100025.30449999998,0.000255069516260642,1.0002530449999996,0.0
12,2000-01-20,98644.68569999999,1470.5008,100115.18649999998,0.0008985926156315216,1.0011518649999995,0.0
13,2000-01-21,98277.06049999999,1802.6995,100079.76,-0.00035385740404114685,1.0007975999999996,0.00035426499999990924
14,2000-01-24,100079.76,0.0,100079.76,0.0,1.0007975999999996,0.00035426499999990924
15,2000-01-25,100079.76,0.0,100079.76,0.0,1.0007975999999996,0.00035426499999990924
16,2000-01-26,99716.1835,356.89610000000005,100073.0796,-6.675075959416965e-05,1.0007307959999996,0.00042106899999994063
17,2000-01-27,100073.0796,0.0,100073.0796,0.0,1.0007307959999996,0.00042106899999994063
18,2000-01-28,100073.0796,0.0,100073.0796,0.0,1.0007307959999996,0.00042106899999994063
19,2000-01-31,100073.0796,0.0,100073.0796,0.0,1.0007307959999996,0.00042106899999994063
20,2000-02-01,99737.0345,324.7086,100061.74309999999,-0.00011328221381134984,1.0006174309999996,0.0005344339999999725
21,2000-02-02,100061.74309999999,0.0,100061.74309999999,0.0,1.0006174309999996,0.0005344339999999725
22,2000-02-03,100061.74309999999,0.0,100061.74309999999,0.0,1.0006174309999996,0.0005344339999999725
23,2000-02-04,99727.1151,349.81080000000003,100076.9259,0.00015173431453052721,1.0007692589999997,0.000382605999999841
24,2000-02-07,99377.30429999999,738.8944,100116.1987,0.0003924261226733172,1.0011619869999997,0.0
25,2000-02-08,99007.8571,1116.2367,100124.09379999999,7.885936644136393e-05,1.0012409379999998,0.0
26,2000-02-09,98635.7782,1459.1644000000001,100094.9426,-0.0002911507000324942,1.0009494259999998,0.0002915119999999938
27,2000-02-10,100094.9426,0.0,100094.9426,0.0,1.0009494259999998,0.0002915119999999938
28,2000-02-11,99727.3174,352.24,100079.5574,-0.00015370606746312188,1.0007955739999999,0.00044536399999994813
29,2000-02-14,100079.5574,0.0,100079.5574,0.0,1.0007955739999999,0.00044536399999994813
30,2000-02-15,99704.44200000001,385.4397,100089.88170000001,0.0001031609278481227,1.000898817,0.000342120999999862
31,2000-02-16,99319.00230000001,739.2991999999999,100058.3015,-0.0003155184066924166,1.0005830149999997,0.0006579230000001157
32,2000-02-17,100058.3015,0.0,100058.3015,0.0,1.0005830149999997,0.0006579230000001157
33,2000-02-18,99686.22260000001,360.33750000000003,100046.5601,-0.00011734558576326215,1.0004656009999997,0.0007753370000000981
34,2000-02-22,100046.5601,0.0,100046.5601,0.0,1.0004656009999997,0.0007753370000000981
